Tick 42, has-tree?: 0, landslide at (1, -15), slope -5.53
Tick 42, has-tree?: 0, landslide at (12, -7), slope -11.07
Tick 42, has-tree?: 0, landslide at (10, -12), slope -15.02
Tick 42, has-tree?: 0, landslide at (12, 1), slope -11.86
Tick 42, has-tree?: 0, landslide at (16, 9), slope -4.36
Tick 42, has-tree?: 0, landslide at (-12, -7), slope -3.67
Tick 42, has-tree?: 0, landslide at (-6, 8), slope -5.34
Tick 42, has-tree?: 0, landslide at (-11, -6), slope -6.79
Tick 42, has-tree?: 0, landslide at (-12, -2), slope -10.04
Tick 42, has-tree?: 0, landslide at (5, -10), slope -9.16
Tick 42, has-tree?: 0, landslide at (12, 3), slope -11.17
Tick 42, has-tree?: 0, landslide at (-10, -6), slope -7.42
Tick 42, has-tree?: 0, landslide at (15, 11), slope -11.73
Tick 42, has-tree?: 0, landslide at (-11, 14), slope -3.78
Tick 42, has-tree?: 0, landslide at (14, -8), slope -3.94
Tick 42, has-tree?: 0, landslide at (4, -4), slope -6.43
Tick 42, has-tree?: 0, landslide at (-9, -5), slope -14.93
Tick 42, has-tree?: 0, landslide at (-7, 15), slope -4.16
Tick 42, has-tree?: 0, landslide at (-7, -3), slope -8.14
Tick 42, has-tree?: 0, landslide at (1, 7), slope -6.73
Tick 42, has-tree?: 0, landslide at (-7, 5), slope -6.63
Tick 42, has-tree?: 0, landslide at (0, 8), slope -5.18
Tick 42, has-tree?: 0, landslide at (16, -12), slope -4.61
Tick 42, has-tree?: 0, landslide at (-4, -6), slope -5.35
Tick 42, has-tree?: 0, landslide at (-12, -11), slope -14.4
Tick 42, has-tree?: 0, landslide at (4, -11), slope -14.55
Tick 42, has-tree?: 0, landslide at (-10, -8), slope -11.75
Tick 42, has-tree?: 0, landslide at (-7, -12), slope -3.46
Tick 42, has-tree?: 0, landslide at (16, 2), slope -5.81
Tick 42, has-tree?: 0, landslide at (11, 7), slope -5.04
Tick 42, has-tree?: 0, landslide at (13, -13), slope -3.01
Tick 42, has-tree?: 0, landslide at (-10, -3), slope -7.13
Tick 42, has-tree?: 0, landslide at (-5, 1), slope -5.69
Tick 42, has-tree?: 0, landslide at (6, -4), slope -4.38
Tick 42, has-tree?: 0, landslide at (-2, -7), slope -5.39
Tick 42, has-tree?: 0, landslide at (-4, -10), slope -17.65
Tick 42, has-tree?: 0, landslide at (-14, 10), slope -2.96
Tick 42, has-tree?: 0, landslide at (1, -12), slope -4.21
Tick 42, has-tree?: 0, landslide at (-12, -5), slope -3.83
Tick 42, has-tree?: 0, landslide at (10, -8), slope -11.81
Tick 42, has-tree?: 0, landslide at (15, -14), slope -6.19
Tick 42, has-tree?: 0, landslide at (-9, 0), slope -14.52
Tick 42, has-tree?: 0, landslide at (6, -1), slope -9.72
Tick 42, has-tree?: 0, landslide at (-5, -3), slope -7.93
Tick 42, has-tree?: 0, landslide at (12, -2), slope -7.88
Tick 42, has-tree?: 0, landslide at (12, 8), slope -5.24
Tick 42, has-tree?: 0, landslide at (8, 14), slope -9.67
Tick 42, has-tree?: 0, landslide at (16, 13), slope -3.75
Tick 42, has-tree?: 0, landslide at (10, 14), slope -11.09
Tick 42, has-tree?: 0, landslide at (-15, -6), slope -13.05
